Reports,LDA_Topic,NMF_Topic,LDA_Topic_Label,NMF_Topic_Label
academic workload becoming overwhelming especially difficulty course material difficult manage time well balance work responsibility academic one hard time sleeping due stress anxiety causing starting affect mental health,2,2,Academic Stress & well being,Emotional & Academic Stress
find struggling difficulty course material trying manage time effectively balancing work academic responsibility challenge im getting enough sleep causing stress anxiety taking toll mental health,2,2,Academic Stress & well being,Emotional & Academic Stress
managing academic workload difficulty course material constant struggle need improve time management skill balance work academic responsibility hard time conflict commitment lack sleep starting affect mental health im feeling stressed anxious,2,2,Academic Stress & well being,Emotional & Academic Stress
im finding hard keep academic workload especially since course material challenging balancing work academic responsibility tough often time conflict commitment im getting enough sleep starting affect mental health stress anxiety overwhelming,2,2,Academic Stress & well being,Emotional & Academic Stress
academic workload taking toll especially since course material difficult im trying manage time effectively challenging balance work academic responsibility always time conflict commitment im getting enough sleep causing stress anxiety starting impact mental health,2,2,Academic Stress & well being,Emotional & Academic Stress
im struggling academic workload difficulty course material need improve time management skill balance work academic responsibility always time conflict commitment im sleeping well affecting mental health im feeling stressed anxious time,2,2,Academic Stress & well being,Emotional & Academic Stress
challenging keep academic workload especially since course material difficult need work time management skill balance work academic responsibility always time conflict commitment lack sleep starting take toll mental health im feeling stressed anxious,2,2,Academic Stress & well being,Emotional & Academic Stress
academic workload becoming overwhelming course material challenging im struggling balance work academic responsibility manage time effectively often time conflict commitment im getting enough sleep causing stress anxiety mental health suffering,2,2,Academic Stress & well being,Emotional & Academic Stress
academic workload getting much im finding course material increasingly difficult need improve time management skill balance work academic responsibility always time conflict commitment lack sleep starting affect mental health im feeling stressed anxious time,2,2,Academic Stress & well being,Emotional & Academic Stress
managing academic workload challenge especially since course material difficult need balance work academic responsibility often time conflict commitment lack sleep starting take toll mental health im feeling stressed anxious,2,2,Academic Stress & well being,Emotional & Academic Stress
academic workload overwhelming course material hard understand balancing work academic responsibility tough always time conflict commitment im getting enough sleep stress anxiety starting affect mental health,2,2,Academic Stress & well being,Emotional & Academic Stress
hard keep academic workload difficulty course material making even harder balancing work academic responsibility challenge often time conflict commitment lack sleep taking toll,2,2,Academic Stress & well being,Emotional & Academic Stress
found academic workload extremely heavy semester leaving feeling overwhelmed stressed,2,2,Academic Stress & well being,Emotional & Academic Stress
difficulty course material much higher anticipated struggling keep,2,2,Academic Stress & well being,Emotional & Academic Stress
struggling time management skill finding difficult balance academic responsibility work commitment,2,2,Academic Stress & well being,Emotional & Academic Stress
balancing work academic responsibility significant challenge found difficult maintain healthy worklife balance,2,2,Academic Stress & well being,Emotional & Academic Stress
time conflict commitment made challenging keep coursework assignment,2,2,Academic Stress & well being,Emotional & Academic Stress
struggling lack sleep fatigue due demand academic workload,2,2,Academic Stress & well being,Emotional & Academic Stress
stress anxiety academic workload affecting mental health finding difficult cope,2,2,Academic Stress & well being,Emotional & Academic Stress
concerned mental health experiencing symptom depression anxiety due academic workload,2,2,Academic Stress & well being,Emotional & Academic Stress
academic workload overwhelming struggling find way manage stress maintain mental health,2,2,Academic Stress & well being,Emotional & Academic Stress
finding difficult balance academic workload commitment extracurricular activity social life,2,2,Academic Stress & well being,Emotional & Academic Stress
course material much challenging expected struggling keep pace class,2,2,Academic Stress & well being,Emotional & Academic Stress
finding difficult manage time effectively affecting ability keep assignment coursework,2,2,Academic Stress & well being,Emotional & Academic Stress
balancing work academic responsibility significant challenge finding hard find time selfcare relaxation,2,2,Academic Stress & well being,Emotional & Academic Stress
struggling keep coursework due time conflict commitment parttime work family obligation,2,2,Academic Stress & well being,Emotional & Academic Stress
lack sleep fatigue affecting ability focus coursework stay motivated,2,2,Academic Stress & well being,Emotional & Academic Stress
academic workload causing significant stress anxiety finding hard cope pressure,2,2,Academic Stress & well being,Emotional & Academic Stress
concerned mental health experiencing symptom burnout exhaustion due demand academic workload,2,2,Academic Stress & well being,Emotional & Academic Stress
struggling find way manage stress maintain mental health balancing academic responsibility commitment,2,2,Academic Stress & well being,Emotional & Academic Stress
course material much difficult expected finding hard understand retain information,2,2,Academic Stress & well being,Emotional & Academic Stress
struggling manage time effectively affecting ability keep assignment coursework,2,2,Academic Stress & well being,Emotional & Academic Stress
balancing work academic responsibility challenging finding hard find time social activity hobby,2,2,Academic Stress & well being,Emotional & Academic Stress
time conflict commitment causing significant stress anxiety finding hard stay motivated,2,2,Academic Stress & well being,Emotional & Academic Stress
lack sleep fatigue affecting ability concentrate retain information concerned academic performance,2,2,Academic Stress & well being,Emotional & Academic Stress
academic workload causing significant stress anxiety finding hard cope pressure,2,2,Academic Stress & well being,Emotional & Academic Stress
experiencing symptom anxiety depression due demand academic workload concerned mental health,2,2,Academic Stress & well being,Emotional & Academic Stress
academic workload overwhelming finding difficult stay motivated engaged study,2,2,Academic Stress & well being,Emotional & Academic Stress
struggling find way manage stress maintain mental health balancing academic responsibility commitment,2,2,Academic Stress & well being,Emotional & Academic Stress
course material much challenging expected struggling understand concept complete assignment,2,0,Academic Stress & well being,Access & online barriers
struggling manage time effectively find hard balance academic responsibility work social activity,2,2,Academic Stress & well being,Emotional & Academic Stress
balancing work academic responsibility significant challenge finding,2,2,Academic Stress & well being,Emotional & Academic Stress
academic workload semester overwhelming im trouble keeping assignment reading,2,2,Academic Stress & well being,Emotional & Academic Stress
find course material math class extremely difficult ive attending extra study session still feel lost,2,0,Academic Stress & well being,Access & online barriers
balancing parttime job coursework major struggle im constantly exhausted feel like dont enough time focus school,2,2,Academic Stress & well being,Emotional & Academic Stress
time conflict one class causing lot stress im trying work advisor figure solution proving difficult,2,2,Academic Stress & well being,Emotional & Academic Stress
im getting enough sleep starting affect academic performance ive tried adjusting schedule still cant seem get enough rest,2,2,Academic Stress & well being,Emotional & Academic Stress
im feeling really overwhelmed amount coursework causing lot stress anxiety,2,2,Academic Stress & well being,Emotional & Academic Stress
ive experiencing mental health issue making hard focus school im trying seek help slow process,2,2,Academic Stress & well being,Emotional & Academic Stress
lot commitment outside school including family responsibility challenge balance everything,2,2,Academic Stress & well being,Emotional & Academic Stress
im struggling time management finding hard prioritize coursework im looking resource help improve skill,2,2,Academic Stress & well being,Emotional & Academic Stress
course material history class dense difficult understand im hoping find tutor study group help navigate,2,2,Academic Stress & well being,Emotional & Academic Stress
ive working lot lately hard find time focus schoolwork im trying find way better manage time,2,2,Academic Stress & well being,Emotional & Academic Stress
amount reading writing assignment english class overwhelming im finding hard keep workload,2,2,Academic Stress & well being,Emotional & Academic Stress
im feeling lot stress anxiety upcoming exam im trying develop better study habit help manage stress,2,2,Academic Stress & well being,Emotional & Academic Stress
im trouble balancing extracurricular activity coursework im considering cutting back activity focus school,2,2,Academic Stress & well being,Emotional & Academic Stress
im feeling burnt exhausted demand coursework im trying find way recharge take care mental health,2,2,Academic Stress & well being,Emotional & Academic Stress
lot personal commitment making difficult prioritize schoolwork im looking strategy help better manage time,2,2,Academic Stress & well being,Emotional & Academic Stress
course material physic class challenging im struggling keep im considering seeking additional help tutor,2,2,Academic Stress & well being,Emotional & Academic Stress
im feeling overwhelmed amount reading assignment sociology class im trying break thing smaller task make manageable,2,2,Academic Stress & well being,Emotional & Academic Stress
im trouble sleeping night causing feel tired unfocused day im looking way improve sleep habit,2,2,Academic Stress & well being,Emotional & Academic Stress
pressure maintain good grade causing lot stress anxiety im trying find healthy balance school selfcare,2,2,Academic Stress & well being,Emotional & Academic Stress
im struggling mental health issue making hard focus school im working therapist develop coping strategy,2,2,Academic Stress & well being,Emotional & Academic Stress
parttime job thats making hard balance schoolwork im trying negotiate better schedule employer,2,2,Academic Stress & well being,Emotional & Academic Stress
im finding hard stay motivated coursework im trying set smaller achievable goal help stay track,2,2,Academic Stress & well being,Emotional & Academic Stress
im trouble meeting athletic eligibility requirement schedule conflict one class wish flexibility,3,2,Campus facilities & services,Emotional & Academic Stress
athlete im frustrated limited access athletic facility peak hour difficult fit training session gym always packed,0,0,Access & Online learning issues,Access & online barriers
im trouble meeting athletic eligibility requirement schedule conflict one class wish flexibility,3,2,Campus facilities & services,Emotional & Academic Stress
ive deal sportsrelated injury university medical resource athlete limited ive seek treatment outside campus,3,1,Campus facilities & services,Student Financial Struggles
dont like culture sport team im exclusive member arent treated fairly,3,1,Campus facilities & services,Student Financial Struggles
im disappointed gender inequality sport program womens team dont get funding recognition men team,3,1,Campus facilities & services,Student Financial Struggles
im concerned university compliance title ix seems like sport program receive preferential treatment thats fair,1,1,Career & university Opportunities,Student Financial Struggles
athletic facility always overcrowded wait long time use equipment need training,1,2,Career & university Opportunities,Emotional & Academic Stress
feel like athletic eligibility requirement strict prevent many student participating sport,3,1,Campus facilities & services,Student Financial Struggles
suffered sportsrelated injury take time training university support injured athlete lacking,3,1,Campus facilities & services,Student Financial Struggles
sport team culture university toxic dont feel welcome team,3,1,Campus facilities & services,Student Financial Struggles
gender inequality sport apparent university need invest resource womens sport program,3,1,Campus facilities & services,Student Financial Struggles
university need ensure title ix compliance make sure sport program treated fairly,1,1,Career & university Opportunities,Student Financial Struggles
frustrating cant access athletic facility need strict scheduling limitation,3,0,Campus facilities & services,Access & online barriers
wish athletic eligibility requirement flexible make difficult balance sport academic,3,2,Campus facilities & services,Emotional & Academic Stress
im struggling get medical attention sportsrelated injury university resource sufficient,3,2,Campus facilities & services,Emotional & Academic Stress
sport team culture cliquey exclusive making difficult member feel included,3,1,Campus facilities & services,Student Financial Struggles
ive witnessed gender inequality within sport program firsthand feel time change,3,1,Campus facilities & services,Student Financial Struggles
university need ensure title ix compliance provide equal opportunity sport program,3,1,Campus facilities & services,Student Financial Struggles
athletic facility wellmaintained often dirty overcrowded,3,3,Campus facilities & services,University & campus experience
athletic eligibility requirement strict limit number student participate sport program,3,1,Campus facilities & services,Student Financial Struggles
im frustrated lack resource available athlete suffer injury medical concern,3,1,Campus facilities & services,Student Financial Struggles
sport team culture inclusive often feel like popularity contest,3,1,Campus facilities & services,Student Financial Struggles
ive noticed clear gender inequality within sport program time university take action,3,1,Campus facilities & services,Student Financial Struggles
university need ensure title ix compliance provide equal opportunity athlete regardless gender,3,1,Campus facilities & services,Student Financial Struggles
limited access athletic facility make challenging train effectively reach goal,0,0,Access & Online learning issues,Access & online barriers
athletic eligibility requirement dont take account unique circumstance athlete unfair,3,1,Campus facilities & services,Student Financial Struggles
university need invest better medical resource athlete current option insufficient,3,3,Campus facilities & services,University & campus experience
sport team culture need inclusive welcoming member,3,1,Campus facilities & services,Student Financial Struggles
ive experienced gender inequality within sport program feel significant issue need addressed,3,1,Campus facilities & services,Student Financial Struggles
university need take step ensure title ix compliance create level playing field athlete,3,1,Campus facilities & services,Student Financial Struggles
feel frustrated limited access athletic facility campus hard stay active healthy cant even use gym want,0,0,Access & Online learning issues,Access & online barriers
athletic eligibility requirement sport team strict unfair student cant participate dont meet certain criterion,3,1,Campus facilities & services,Student Financial Struggles
im concerned injury happen sport game practice university need prioritize health safety athlete,3,2,Campus facilities & services,Emotional & Academic Stress
ive noticed sport team culture campus exclusive elitist make hard newcomer feel welcome,3,1,Campus facilities & services,Student Financial Struggles
gender inequality sport serious issue need addressed womens sport team given opportunity resource men team,3,1,Campus facilities & services,Student Financial Struggles
im disappointed lack support student athlete hard balance sport academic resource need provided help athlete succeed,3,1,Campus facilities & services,Student Financial Struggles
title ix compliance university sport program concerning important make sure student treated fairly given equal opportunity,3,1,Campus facilities & services,Student Financial Struggles
frustrating limited option sport athletics program campus variety would appreciated,3,3,Campus facilities & services,University & campus experience
im concerned lack diversity sport team important student feel represented included,3,1,Campus facilities & services,Student Financial Struggles
athletic facility often overcrowded difficult access make hard stay motivated exercise stay active,0,0,Access & Online learning issues,Access & online barriers
athletic eligibility requirement confusing hard navigate university provide clearer guideline resource help student understand process,3,1,Campus facilities & services,Student Financial Struggles
university need prioritize health wellbeing student athlete includes providing adequate medical resource support,3,1,Campus facilities & services,Student Financial Struggles
sport team culture campus toxic harmful important university promote positive inclusive environment,3,1,Campus facilities & services,Student Financial Struggles
gender inequality sport unacceptable university need support empower woman athlete,3,1,Campus facilities & services,Student Financial Struggles
disappointing limited opportunity student arent interested traditional sport alternative option would appreciated,3,1,Campus facilities & services,Student Financial Struggles
